Sefer,Perek,Title,Teacher
Shemuel1,23,,Mrs. Marjorie Salem
Shemuel1,24,,Mrs. Marjorie Salem
Shemuel1,25,,Mrs. Marjorie Salem
Shemuel1,26,,Mrs. Marjorie Salem
Shemuel1,27,,Mrs. Marjorie Salem
Shemuel1,28,,Mrs. Marjorie Salem
Shemuel1,29,,Mrs. Marjorie Salem
Shemuel1,30,,Mrs. Marjorie Salem
Shemuel1,31,,Mrs. Marjorie Salem
Shemuel2,1,,Mrs. Marjorie Salem
Shemuel2,2,,Mrs. Marjorie Salem
Shemuel2,3,,Mrs. Marjorie Salem
Shemuel2,4,,Mrs. Marjorie Salem
Shemuel2,5,,Mrs. Marjorie Salem
Shemuel2,6,,Mrs. Marjorie Salem
Shemuel2,7,,Mrs. Marjorie Salem
Shemuel2,8,,Mrs. Marjorie Salem
Shemuel2,9,,Mrs. Marjorie Salem
Shemuel2,10,,Mrs. Marjorie Salem
Shemuel2,11,,Mrs. Marjorie Salem
Shemuel2,12,,Mrs. Marjorie Salem
Shemuel2,13,,Mrs. Marjorie Salem
Shemuel2,14,,Mrs. Marjorie Salem
Shemuel2,15,,Mrs. Marjorie Salem
Shemuel2,16,,Mrs. Marjorie Salem
Shemuel2,17,,Mrs. Marjorie Salem
Shemuel2,18,,Mrs. Marjorie Salem
Shemuel2,19,,Mrs. Marjorie Salem
Shemuel2,20,,Mrs. Marjorie Salem
Shemuel2,21,,Mrs. Marjorie Salem
Shemuel2,22,,Mrs. Marjorie Salem
Shemuel2,23,,Mrs. Marjorie Salem
Shemuel2,24,,Mrs. Marjorie Salem
Melachim1,1,,Rabbi Gad Dishi
Melachim1,2,,Rabbi Gad Dishi
Melachim1,3,,Rabbi Gad Dishi
Melachim1,4,,Rabbi Gad Dishi
Melachim1,5,,Rabbi Gad Dishi
Melachim1,6,,Rabbi Gad Dishi
Melachim1,7,,Rabbi Gad Dishi
Melachim1,8,,Rabbi Gad Dishi
Melachim1,9,,Rabbi Gad Dishi
Melachim1,10,,Rabbi Gad Dishi
Melachim1,11,,Rabbi Gad Dishi
Melachim1,12,,Rabbi Gad Dishi
Melachim1,13,,Rabbi Gad Dishi
Melachim1,14,,Rabbi Gad Dishi
Melachim1,15,,Rabbi Gad Dishi
Melachim1,16,,Rabbi Gad Dishi
Melachim1,17,,Rabbi Gad Dishi
Melachim1,18,,Rabbi Gad Dishi
Melachim1,19,,Rabbi Gad Dishi
Melachim1,20,,Rabbi Gad Dishi
Melachim1,21,,Rabbi Gad Dishi
Melachim1,22,,Rabbi Gad Dishi
Melachim2,1,,Ms. Adele Chabot
Melachim2,2,,Ms. Adele Chabot
Melachim2,3,,Ms. Adele Chabot
Melachim2,4,,Ms. Adele Chabot
Melachim2,5,,Ms. Adele Chabot
Melachim2,6,,Ms. Adele Chabot
Melachim2,7,,Ms. Adele Chabot
Melachim2,8,,Ms. Adele Chabot
Melachim2,9,,Ms. Adele Chabot
Melachim2,10,,Ms. Adele Chabot
Melachim2,11,,Ms. Adele Chabot
Melachim2,12,,Ms. Adele Chabot
Melachim2,13,,Ms. Adele Chabot
Melachim2,14,,Ms. Adele Chabot
Melachim2,15,,Ms. Adele Chabot
Melachim2,16,,Ms. Adele Chabot
Melachim2,17,,Ms. Adele Chabot
Melachim2,18,,Ms. Adele Chabot
Melachim2,19,,Ms. Adele Chabot
Melachim2,20,,Ms. Adele Chabot
Melachim2,21,,Ms. Adele Chabot
Melachim2,22,,Ms. Adele Chabot
Melachim2,23,,Ms. Adele Chabot
Melachim2,24,,Ms. Adele Chabot
Melachim2,25,,Ms. Adele Chabot
